epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.0246,1.11915,1.39832,1.21494,0.65731,0.52332,0.60796,0.44982,1.07894,1.1216,1.1269,8.33e-06,8.33e-06,8.33e-06
2,59.2219,1.20872,1.32619,1.25317,0.7067,0.53357,0.6255,0.46663,1.06892,1.08506,1.12241,1.69664e-05,1.69664e-05,1.69664e-05
3,87.7126,1.19163,1.38523,1.2551,0.66835,0.56732,0.64604,0.48253,1.05949,1.05824,1.11822,2.46604e-05,2.46604e-05,2.46604e-05
4,115.625,1.15683,1.29019,1.24357,0.71595,0.57909,0.66061,0.49652,1.04586,1.02935,1.11035,3.14118e-05,3.14118e-05,3.14118e-05
5,143.036,1.08392,1.2402,1.21642,0.75324,0.59501,0.67842,0.51318,1.03205,1.00015,1.10205,3.72208e-05,3.72208e-05,3.72208e-05
6,171.425,1.07987,1.20547,1.1872,0.77401,0.60843,0.6875,0.5243,1.02014,0.97765,1.09251,4.20873e-05,4.20873e-05,4.20873e-05
7,199.652,1.14785,1.19373,1.19705,0.77346,0.61113,0.69425,0.53141,1.01335,0.96522,1.08471,4.60114e-05,4.60114e-05,4.60114e-05
8,228.073,1.09715,1.17941,1.18039,0.77993,0.61487,0.69988,0.53601,1.00778,0.94597,1.08065,4.89929e-05,4.89929e-05,4.89929e-05
9,256.23,1.07739,1.12591,1.17896,0.76915,0.63634,0.71364,0.54758,1.00212,0.9214,1.07868,5.1032e-05,5.1032e-05,5.1032e-05
10,283.931,1.07571,1.09228,1.17256,0.77208,0.64071,0.72244,0.55364,0.99442,0.90458,1.0751,5.21285e-05,5.21285e-05,5.21285e-05
11,310.927,1.06082,1.1302,1.14692,0.78232,0.66712,0.74548,0.56563,0.98257,0.88138,1.06739,5.22827e-05,5.22827e-05,5.22827e-05
12,338.393,1.10126,1.19012,1.18111,0.78815,0.66215,0.75022,0.56922,0.97808,0.86865,1.0627,5.14943e-05,5.14943e-05,5.14943e-05
13,365.37,1.06936,1.06456,1.15115,0.76229,0.67273,0.75389,0.57441,0.97652,0.85922,1.05985,4.8314e-05,4.8314e-05,4.8314e-05
14,392.4,1.03946,1.05001,1.12357,0.76487,0.68346,0.7576,0.57917,0.97323,0.8559,1.05772,4.24235e-05,4.24235e-05,4.24235e-05
15,420.113,1.08424,1.05608,1.12783,0.76079,0.67996,0.76946,0.58718,0.96827,0.85087,1.05447,3.6533e-05,3.6533e-05,3.6533e-05
16,448.178,1.09839,1.07908,1.14089,0.77294,0.67739,0.77091,0.5871,0.9691,0.84598,1.05433,3.06425e-05,3.06425e-05,3.06425e-05
17,476.437,1.02329,1.01182,1.15097,0.76427,0.68003,0.77155,0.5881,0.96464,0.83851,1.05205,2.4752e-05,2.4752e-05,2.4752e-05
18,504.338,1.04915,0.99247,1.11788,0.76304,0.68619,0.76992,0.58969,0.96259,0.83702,1.05032,1.88615e-05,1.88615e-05,1.88615e-05
19,532.215,0.9862,0.96644,1.11128,0.71497,0.70688,0.77027,0.59036,0.96047,0.83444,1.04926,1.2971e-05,1.2971e-05,1.2971e-05
20,560.496,1.02668,1.00232,1.11665,0.73445,0.70391,0.77317,0.59343,0.95825,0.83056,1.04786,7.0805e-06,7.0805e-06,7.0805e-06
