epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.3522,1.36966,2.51149,1.28673,0.64652,0.47992,0.51682,0.38381,1.1186,1.12746,1.05843,1.785e-05,1.785e-05,1.785e-05
2,20.3662,1.42375,2.52547,1.32719,0.60145,0.50535,0.52672,0.39453,1.12622,1.11082,1.06492,3.50639e-05,3.50639e-05,3.50639e-05
3,30.2802,1.40142,2.17689,1.32176,0.59967,0.5169,0.53877,0.39481,1.13514,1.09263,1.0659,5.03929e-05,5.03929e-05,5.03929e-05
4,40.1657,1.32781,1.96294,1.26355,0.67158,0.49353,0.55097,0.39919,1.13358,1.08536,1.06737,6.3837e-05,6.3837e-05,6.3837e-05
5,50.0408,1.3677,1.81035,1.28051,0.68185,0.49751,0.55497,0.40622,1.13496,1.0805,1.06756,7.5396e-05,7.5396e-05,7.5396e-05
6,59.94,1.27079,1.87353,1.23296,0.72211,0.46663,0.56045,0.41088,1.13203,1.08093,1.06645,8.50701e-05,8.50701e-05,8.50701e-05
7,69.7698,1.33967,1.83743,1.26581,0.66173,0.51281,0.5628,0.41645,1.12781,1.07712,1.06418,8.3657e-05,8.3657e-05,8.3657e-05
8,79.7976,1.30425,1.67889,1.20763,0.65701,0.50867,0.56131,0.41639,1.11857,1.06302,1.05896,7.77665e-05,7.77665e-05,7.77665e-05
9,89.6887,1.29654,1.55421,1.21377,0.76876,0.47201,0.57687,0.42841,1.11717,1.05723,1.05587,7.1876e-05,7.1876e-05,7.1876e-05
10,99.4537,1.33847,1.57969,1.24239,0.6337,0.55548,0.5813,0.43295,1.11437,1.04668,1.05536,6.59855e-05,6.59855e-05,6.59855e-05
11,108.923,1.19045,1.43679,1.12671,0.70342,0.51533,0.58667,0.43699,1.10195,1.04733,1.04373,6.0095e-05,6.0095e-05,6.0095e-05
12,118.487,1.1893,1.46057,1.15174,0.7437,0.50676,0.59033,0.43472,1.09076,1.05084,1.0392,5.42045e-05,5.42045e-05,5.42045e-05
13,128.1,1.20241,1.35084,1.13318,0.73001,0.51208,0.59287,0.43742,1.09017,1.04459,1.03883,4.8314e-05,4.8314e-05,4.8314e-05
14,137.631,1.18482,1.37243,1.12283,0.73824,0.5177,0.60138,0.44274,1.08059,1.0407,1.03522,4.24235e-05,4.24235e-05,4.24235e-05
15,147.435,1.27771,1.38475,1.15225,0.7139,0.53667,0.60337,0.44455,1.07926,1.0366,1.03276,3.6533e-05,3.6533e-05,3.6533e-05
16,157.179,1.16603,1.33034,1.10744,0.73618,0.52691,0.59683,0.4466,1.07974,1.03426,1.03126,3.06425e-05,3.06425e-05,3.06425e-05
17,166.851,1.21724,1.27544,1.15163,0.73908,0.52499,0.60305,0.4475,1.07645,1.01541,1.02982,2.4752e-05,2.4752e-05,2.4752e-05
18,176.153,1.18118,1.28032,1.11663,0.73862,0.54076,0.60539,0.44851,1.07549,1.01576,1.02874,1.88615e-05,1.88615e-05,1.88615e-05
19,185.654,1.16094,1.25979,1.11936,0.73714,0.53676,0.60176,0.44917,1.06952,1.01449,1.02732,1.2971e-05,1.2971e-05,1.2971e-05
20,195.521,1.19393,1.2759,1.1258,0.74605,0.53058,0.61045,0.44812,1.05751,1.00074,1.02254,7.0805e-06,7.0805e-06,7.0805e-06
