epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.584,1.16286,1.51305,1.23747,0.67922,0.51869,0.62118,0.45909,1.07273,1.09713,1.1121,1.785e-05,1.785e-05,1.785e-05
2,58.3341,1.20505,1.6027,1.27901,0.66031,0.5681,0.63581,0.47255,1.06131,1.0649,1.10706,3.50639e-05,3.50639e-05,3.50639e-05
3,88.0378,1.24165,1.44234,1.29321,0.69223,0.57454,0.64878,0.48275,1.05443,1.0387,1.10454,5.03929e-05,5.03929e-05,5.03929e-05
4,119.475,1.13984,1.37111,1.2451,0.69531,0.61293,0.66699,0.49758,1.04957,1.02457,1.09894,6.3837e-05,6.3837e-05,6.3837e-05
5,150.691,1.15227,1.30977,1.25,0.72871,0.62911,0.68168,0.50971,1.03956,1.00768,1.09198,7.5396e-05,7.5396e-05,7.5396e-05
6,183.925,1.07303,1.32484,1.19829,0.77263,0.62477,0.69008,0.51722,1.02591,0.99363,1.08723,8.50701e-05,8.50701e-05,8.50701e-05
7,215.364,1.12053,1.29393,1.22916,0.7738,0.63446,0.69403,0.5242,1.01573,0.97894,1.08332,8.3657e-05,8.3657e-05,8.3657e-05
8,244.384,1.09929,1.21266,1.17397,0.77926,0.64561,0.7096,0.53611,1.00354,0.95666,1.07654,7.77665e-05,7.77665e-05,7.77665e-05
9,276.116,1.08901,1.19154,1.1906,0.77075,0.6652,0.71906,0.54508,0.99986,0.93412,1.07318,7.1876e-05,7.1876e-05,7.1876e-05
10,304.365,1.08976,1.16604,1.19458,0.76239,0.67015,0.73569,0.55851,0.99374,0.91472,1.06821,6.59855e-05,6.59855e-05,6.59855e-05
11,332.755,1.07786,1.24055,1.17531,0.72161,0.68634,0.74157,0.56232,0.99148,0.90247,1.06051,6.0095e-05,6.0095e-05,6.0095e-05
12,365.611,1.11723,1.3261,1.20819,0.72587,0.67843,0.7417,0.56012,0.98767,0.89429,1.05571,5.42045e-05,5.42045e-05,5.42045e-05
13,396.286,1.11133,1.17455,1.18022,0.72519,0.67537,0.74529,0.56285,0.98079,0.88313,1.05081,4.8314e-05,4.8314e-05,4.8314e-05
14,425.274,1.06099,1.17161,1.1482,0.71965,0.67698,0.7468,0.56608,0.97675,0.87684,1.04896,4.24235e-05,4.24235e-05,4.24235e-05
15,455.436,1.16699,1.19791,1.17977,0.71082,0.68265,0.75062,0.56637,0.97325,0.86995,1.04717,3.6533e-05,3.6533e-05,3.6533e-05
16,486.033,1.11861,1.17502,1.15638,0.71401,0.70428,0.7508,0.56861,0.97235,0.86732,1.04604,3.06425e-05,3.06425e-05,3.06425e-05
17,530.59,1.05656,1.10466,1.17622,0.73403,0.70638,0.75612,0.57152,0.9692,0.85736,1.04445,2.4752e-05,2.4752e-05,2.4752e-05
18,657.453,1.05369,1.11174,1.13524,0.72856,0.69902,0.75417,0.5722,0.96776,0.85783,1.04251,1.88615e-05,1.88615e-05,1.88615e-05
19,724.268,1.0212,1.06867,1.12989,0.72906,0.70032,0.75413,0.57515,0.96737,0.85838,1.04255,1.2971e-05,1.2971e-05,1.2971e-05
20,756.138,1.08432,1.1449,1.15304,0.7395,0.7146,0.75971,0.57535,0.95975,0.85211,1.03811,7.0805e-06,7.0805e-06,7.0805e-06
