epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,57.3511,1.12859,2.26635,1.5242,1,0.11006,0.75207,0.48104,1.56738,3.94647,2.16085,0.000647059,0.000647059,0.000647059
2,115.392,1.1277,1.78387,1.41551,0.80592,0.74153,0.83157,0.39469,1.3877,3.23443,1.9426,0.00128771,0.00128771,0.00128771
3,172.387,1.12839,1.7885,1.48463,0.81582,0.79101,0.85861,0.47087,1.42301,2.85453,2.03047,0.00190197,0.00190197,0.00190197
4,229.099,1.32003,1.9613,1.57163,0.57326,0.4881,0.48478,0.16992,2.20407,4.19137,2.62582,0.0018812,0.0018812,0.0018812
5,286.842,1.26444,1.74562,1.5618,0.84695,0.65882,0.78286,0.375,1.79384,2.77033,2.41392,0.0018416,0.0018416,0.0018416
6,342.968,1.15308,1.55103,1.44908,0.76604,0.75,0.83553,0.53347,1.49891,2.95491,2.1916,0.001802,0.001802,0.001802
7,399.404,1.10088,1.48249,1.38464,0.85138,0.78571,0.87288,0.43475,1.56211,2.92789,2.04876,0.0017624,0.0017624,0.0017624
8,456.06,1.08358,1.55749,1.38644,0.94071,0.75552,0.86881,0.54033,1.37097,2.28003,1.91545,0.0017228,0.0017228,0.0017228
9,511.688,1.00158,1.33158,1.3132,0.94325,0.79157,0.91639,0.57446,1.27346,1.92561,1.74082,0.0016832,0.0016832,0.0016832
10,567.25,0.99944,1.3178,1.33335,0.88625,0.83476,0.93798,0.65969,1.13894,1.82015,1.66638,0.0016436,0.0016436,0.0016436
11,624.265,0.98884,1.28548,1.30593,0.8683,0.86342,0.93434,0.65885,1.14253,1.73052,1.66127,0.001604,0.001604,0.001604
12,680.383,1.0095,1.33532,1.3376,0.94818,0.8713,0.93425,0.64415,1.12228,1.634,1.5969,0.0015644,0.0015644,0.0015644
13,736.645,0.99347,1.3395,1.3385,0.86135,0.81359,0.91162,0.59631,1.21908,1.70948,1.6853,0.0015248,0.0015248,0.0015248
14,792.104,0.93107,1.24758,1.29574,0.83426,0.94048,0.95436,0.66125,1.10517,1.52917,1.56161,0.0014852,0.0014852,0.0014852
15,848.78,0.92254,1.15364,1.27935,0.91829,0.94048,0.97322,0.70877,1.03573,1.45589,1.49375,0.0014456,0.0014456,0.0014456
16,906.059,0.92373,1.09034,1.27632,0.88724,0.92857,0.96353,0.70072,1.07306,1.44613,1.60567,0.001406,0.001406,0.001406
