epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.6372,0.8907,1.93867,1.21231,0.84123,0.8831,0.92054,0.71377,0.82309,2.83088,1.25079,0.00032,0.00032,0.00032
2,63.8435,0.90355,1.26506,1.13589,0.96379,0.54762,0.82653,0.57409,1.17768,2.72917,1.49765,0.000646932,0.000646932,0.000646932
3,94.9307,0.98923,1.30583,1.18772,0.80811,0.75203,0.83781,0.54189,1.31471,2.34288,1.61523,0.0009604,0.0009604,0.0009604
4,126.061,0.96727,1.28866,1.16535,0.87561,0.70238,0.84692,0.51888,1.19603,2.46668,1.61876,0.0012604,0.0012604,0.0012604
5,157.472,0.9491,1.2484,1.21013,0.87582,0.67175,0.78833,0.51898,1.40116,2.4557,1.80527,0.00154694,0.00154694,0.00154694
6,188.333,1.01475,1.19748,1.20661,0.75231,0.67857,0.76891,0.47947,1.45677,2.16329,1.7446,0.001802,0.001802,0.001802
7,219.585,1.01346,1.17446,1.22986,0.82987,0.72619,0.82619,0.49236,1.35801,2.31534,1.60066,0.0017624,0.0017624,0.0017624
8,250.45,0.95972,1.12249,1.17939,0.84201,0.85714,0.90688,0.61673,1.04489,1.62981,1.4053,0.0017228,0.0017228,0.0017228
9,282.255,0.92339,1.07426,1.1592,0.93499,0.85611,0.94639,0.67859,1.08952,1.65375,1.46776,0.0016832,0.0016832,0.0016832
10,314.375,0.8864,1.04119,1.15262,0.86492,0.92857,0.95588,0.68907,0.99698,1.5069,1.41156,0.0016436,0.0016436,0.0016436
11,346.086,0.86496,0.96947,1.12954,0.92627,0.95238,0.9727,0.69706,1.02246,1.23617,1.35848,0.001604,0.001604,0.001604
12,377.572,0.94134,1.09929,1.2013,0.98717,0.91577,0.98189,0.71815,0.94939,1.25964,1.36076,0.0015644,0.0015644,0.0015644
13,409.553,0.82802,0.9634,1.11778,0.93842,0.90713,0.97495,0.72566,0.86471,1.20652,1.30736,0.0015248,0.0015248,0.0015248
14,442.294,0.85297,0.92161,1.12348,0.89935,0.89286,0.95002,0.69405,1.03655,1.41175,1.36867,0.0014852,0.0014852,0.0014852
15,473.948,0.85912,0.89748,1.12353,0.90073,0.86415,0.94367,0.71358,0.98274,1.39419,1.29559,0.0014456,0.0014456,0.0014456
16,505.856,0.87954,0.90569,1.1249,0.93054,0.88095,0.95527,0.72256,1.00099,1.3913,1.33117,0.001406,0.001406,0.001406
17,537.063,0.83325,0.90177,1.12035,0.92442,0.87363,0.95054,0.65789,1.15939,1.44265,1.40268,0.0013664,0.0013664,0.0013664
18,568.071,0.81204,0.86995,1.10065,0.96134,0.88815,0.96688,0.72349,0.90732,1.21616,1.27628,0.0013268,0.0013268,0.0013268
19,598.933,0.85218,0.8697,1.13243,0.88953,0.91667,0.96286,0.75032,0.84744,1.10763,1.2178,0.0012872,0.0012872,0.0012872
20,629.907,0.82032,0.85514,1.11449,0.90191,0.94048,0.96558,0.73431,0.86399,1.0078,1.22444,0.0012476,0.0012476,0.0012476
21,660.806,0.79041,0.82856,1.09026,0.91548,0.94048,0.96886,0.72625,0.86861,1.00286,1.21315,0.001208,0.001208,0.001208
22,691.357,0.81532,0.81415,1.11511,0.90385,0.92857,0.97006,0.74416,0.79477,1.02925,1.14565,0.0011684,0.0011684,0.0011684
23,722.055,0.78357,0.83832,1.08966,0.95698,0.91667,0.97361,0.73581,0.83896,0.97589,1.15895,0.0011288,0.0011288,0.0011288
24,752.947,0.82226,0.78641,1.10167,0.93682,0.94048,0.98043,0.73638,0.91622,1.01532,1.29006,0.0010892,0.0010892,0.0010892
25,784.649,0.73588,0.73275,1.07067,0.91702,0.96429,0.98194,0.77642,1.00004,1.15727,1.33945,0.0010496,0.0010496,0.0010496
26,816.349,0.77327,0.73623,1.06499,0.94038,0.93895,0.98033,0.72619,1.05998,1.17813,1.34156,0.00101,0.00101,0.00101
27,847.944,0.72073,0.70459,1.07231,0.96643,0.94048,0.9892,0.74519,0.88235,0.94613,1.2343,0.0009704,0.0009704,0.0009704
28,879.416,0.80056,0.73719,1.0871,0.9749,0.92494,0.98501,0.76352,0.79885,0.89467,1.20638,0.0009308,0.0009308,0.0009308
29,910.736,0.69291,0.66042,1.01995,0.98743,0.93552,0.98946,0.77119,0.80656,0.77044,1.16674,0.0008912,0.0008912,0.0008912
